id,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome
569520,65+,Female,0-9y,high school,upper class,0.629027313918201,Yes,after 2015,No,Yes,10238,12000.0,sedan,0,0,0,No Claim
750365,16-25,Male,0-9y,none,poverty,0.3577571170184627,No,before 2015,No,No,10238,16000.0,sedan,0,0,0,Claim
199901,16-25,Female,0-9y,high school,working class,0.4931457852181982,Yes,before 2015,No,No,10238,11000.0,sedan,0,0,0,No Claim
478866,16-25,Male,0-9y,university,working class,0.2060128507324556,Yes,before 2015,No,Yes,32765,11000.0,sedan,0,0,0,No Claim
731664,26-39,Male,10-19y,no education,working class,0.3883658881572184,Yes,before 2015,No,No,32765,12000.0,sedan,2,0,1,Claim
877557,40-64,Female,20-29y,high school,upper class,0.6191273725847388,Yes,after 2015,No,Yes,10238,13000.0,sedan,3,0,3,No Claim
930134,65+,Male,30y+,high school,upper class,0.4929435502195342,No,after 2015,Yes,Yes,10238,13000.0,sedan,7,0,3,No Claim
461006,26-39,Female,0-9y,university,working class,0.468689297434465,No,after 2015,No,Yes,10238,14000.0,sedan,0,0,0,Claim
68366,40-64,Female,20-29y,university,working class,0.5218149362971065,No,before 2015,Yes,No,10238,13000.0,sedan,0,0,0,No Claim
445911,40-64,Female,0-9y,high school,upper class,0.5615310319383646,Yes,before 2015,No,Yes,32765,11000.0,sedan,0,0,0,Claim
275820,65+,Male,30y+,high school,upper class,0.6203612640126029,Yes,after 2015,Yes,Yes,10238,10000.0,sedan,6,2,7,No Claim
521399,65+,Female,30y+,high school,upper class,0.7298308815593941,Yes,after 2015,Yes,No,32765,12000.0,sedan,4,0,0,No Claim
429728,40-64,Male,20-29y,high school,upper class,0.6370447435902447,Yes,before 2015,Yes,Yes,10238,8000.0,sedan,4,1,2,No Claim
569640,16-25,Female,0-9y,university,upper class,0.59125997174597,Yes,before 2015,No,Yes,10238,,sedan,0,0,0,No Claim
980181,26-39,Male,10-19y,high school,middle class,0.4615679630439447,Yes,before 2015,Yes,Yes,10238,12000.0,sedan,0,2,1,No Claim
906223,26-39,Female,0-9y,high school,upper class,0.7627979410816134,No,after 2015,Yes,No,10238,,sedan,0,0,0,No Claim
517747,65+,Male,30y+,university,upper class,0.7961748462456987,Yes,before 2015,Yes,Yes,32765,,sedan,10,2,1,No Claim
24851,16-25,Male,0-9y,no education,poverty,,No,before 2015,Yes,No,32765,12000.0,sedan,0,0,0,Claim
104086,26-39,Female,0-9y,university,upper class,0.6805942795073384,Yes,before 2015,No,Yes,32765,,sedan,0,0,0,Claim
240658,16-25,Female,0-9y,high school,working class,0.4177139816231188,Yes,before 2015,No,Yes,10238,18000.0,sedan,0,0,0,Claim
484399,16-25,Female,0-9y,high school,working class,0.4095135306516067,No,before 2015,No,No,10238,17000.0,sedan,0,0,0,Claim
912828,16-25,Male,0-9y,high school,middle class,0.5532600531952381,Yes,after 2015,Yes,Yes,32765,8000.0,sedan,0,0,0,Claim
892754,40-64,Male,20-29y,none,poverty,0.3309502618581893,Yes,before 2015,Yes,Yes,10238,13000.0,sedan,3,1,1,No Claim
217,16-25,Male,0-9y,no education,poverty,,No,before 2015,No,No,10238,17000.0,sedan,0,0,0,No Claim
633896,65+,Male,30y+,high school,upper class,0.5006306604427161,Yes,before 2015,Yes,Yes,32765,7000.0,sedan,13,2,3,No Claim
193110,26-39,Female,10-19y,university,middle class,0.5519701813636283,Yes,before 2015,Yes,No,10238,14000.0,sports car,0,0,0,No Claim
